ink,用墨水寫;簽署;簽訂(合同等);墨水
insect,昆蟲
insist,堅持
instance,舉...為例;引證;例子
instant,即時的;瞬間
instrument,儀器
international,國際的
interview,面談;採訪
introduce,介紹
invent,發明
invitation,邀請
invite,邀請
island,島嶼
item,項目;品目
jacket,夾克;外套
jam,擠;夾傷;果醬;擁塞
jazz,使活潑;奏爵士樂;遊蕩
jeans,牛仔褲
jeep,吉普車
jog,輕推;輕撞;慢跑;緩行;暗示;慢跑
joint,接頭;接縫;關節;連接;接合
judge,判斷;審判;法官
judgement,審判; 裁判;評價
judgment,審判;裁判;判斷力
juicy,多汁的
ketchup,番茄醬
kindergarten,幼稚園
kingdom,王國
knock,敲;擊;打;指摘;挑剔
knowledge,學問;知識
koala,澳洲產無尾熊
ladybird,瓢蟲
ladybug,瓢蟲
lane,巷;弄;車道
language,語言
lantern,燈籠
lap,膝部;(衣;裙等的)下襬
latest,最新的;最近的;最遲的
lawyer,律師
leadership,領導才能
legal,合法的
lemon,檸檬
lemonade,檸檬水
lend,出借
length,(距離;尺寸的)長度
leopard,豹;美洲豹
lettuce,類似萵苣的生菜
library,圖書館
lick,舔;舐;少量
lid,蓋子
lightning,閃電
limit,限定;限度
link,聯繫;環節
liquid,液體
listener,傾聽者
loaf,一條(麵包)
local,本地的;當地居民
locate,把...設置在;使...座落於
lock,鎖住;鎖
log,伐(林木);把...記入航海日誌;原木;木料;工作記錄簿
lone,孤單的;無伴的
lonely,寂寞的
lose,輸;失去
loser,輸家
loss,損失
lovely,動人的
lover,情人
lower,放下;降下;放低;減低;減弱
luck,好運;幸運
magazine,雜誌
magic,不可思議的;有魔力的;魔術
magician,魔術師
main,總管道;主要部分;要點;最主要的
maintain,維持;保養
male,男性的
Mandarin,中國的官話(北京話)
mango,芒果
manner,舉止;態度
mark,記號
marriage,結婚;婚姻
mask,在(臉上)戴面具;掩飾;面具
mass,團;塊
mat,蓆子;墊子
match,比賽;競賽;對手;相配者;火柴;相配
mate,使交配;同伴;伙伴
meal,餐
meaning,意義
means,手段;方法;工具;收入
measurable,可測量的;可預見的
measure,計量
measurement,測量法;測定;尺寸
medicine,藥
meeting,集會
melody,旋律;主調
melon,瓜;甜瓜
member,會員
memory,記憶
menu,菜單
message,消息;音信
metal,金屬
meter,公尺;計量器
method,方法
metro,地下鐵道
military,軍事的;軍隊
million,百萬
mine,開礦;佈雷;破壞;我的東西;礦;源泉;地雷;坑道
minus,負的;減去的;減（去）;負號
mirror,反映;反射;鏡子
mix,混和;攪和;結合
model,塑像;當模特兒;模型;模特兒
modern,現代的
monster,怪物
mosquito,蚊子
moth,蛾;蠹;蛀蟲
motion,打手勢;搖(或點)頭示意;擺動;走;移動
motorcycle,機車
movable,可動的;可移動的
mule,騾;固執的人
multiply,乘;使相乘
museum,博物館
musician,音樂家
nail,將...釘牢;捕獲;揭露;擊;打;釘子;指甲
naked,裸體的
napkin,餐巾
narrow,變窄;收縮;減少;窄的
national,國家的
natural,天然的
naughty,頑皮的
nearby,附近的
nearly,幾乎;差不多;密切地;親密地
neat,整潔的;整齊的
necessary,需要的
necklace,項鍊
needle,(用話)刺激;挑逗;用針縫;針
negative,否定語;負數;陰電;底片;否定的;負面的
neighbor,與...為鄰;鄰居
neither,兩者都不;也不
nephew,侄子;外甥
nest,築巢;巢居;伏窩
net,用網捕;使淨賺;網子
niece,侄女;外甥女
nobody,無名小子
nod,點頭
none,毫不;決不
noodle,麵
northern,北方的;向北方的
notebook,筆記本
novel,新的;新穎的;新奇的;小說
nut,核果
obey,服從
object,反對;物件
occur,發生;出現
offer,提供;提議;出價;報價
official,官方的;法定的;官員;公務員
omit,略過
onion,洋蔥
operate,運作;運轉;動手術
opinion,意見
ordinary,平常的
organ,器官
organization,組織
organize,使有條理;安排
oven,烤箱
overpass,天橋
overseas,國外的;在海外
owl,貓頭鷹
owner,物主
ox,公牛
pack,包裝
package,把...打包;包裝;包裹
pain,使煩惱;使痛苦;使疼痛;疼痛;痛苦
painful,痛的
painter,油漆匠;畫家
painting,油畫;水彩畫
pajamas,睡衣
palm,手掌;手心
pan,平鍋
panda,貓熊
papaya,木瓜
pardon,原諒;饒恕;寬恕;赦免
parrot,機械地模仿;鸚鵡
particular,特殊的
partner,夥伴
passenger,乘客
paste,黏貼;漿糊
pat,輕拍;輕打
path,小徑;路線
patient,有耐心的;能忍受的;病人
pattern,圖案;模式;仿造;模仿
peace,和平
peaceful,寧靜的;和平的
peach,桃子
peanut,花生;花生果;花生米
pear,梨子
penguin,企鵝
pepper,加胡椒粉於;使佈滿;嚴懲;胡椒;辣椒
per,經;由;每;按照
perfect,使完美;做完;完成式;完美的
period,一段時間;一堂課
personal,個人的
phone,打電話;電話
photo,給...拍照; 拍照;在照片上顯得;相片
photograph,拍照;照片
photographer,攝影師;照相師
phrase,用言語表達;用(詞);片語;詞組
pick,採收;撿起;選;精華;最好的部分;收穫(量)
picnic,去野餐;參加野餐;在戶外用餐;野餐
pigeon,鴿子
pile,堆起;一堆
pillow,枕著頭;靠;枕頭
pin,釘住;壓住;按住;把...歸罪於;大頭針;胸針
pineapple,鳳梨
ping-pong,乒乓球;桌球
pink,粉紅色
pipe,用管道輸送;吹奏管樂;尖聲叫嚷;管子
pitch,搭(帳篷);紮(營);為...定調;投;投球;音高
pizza,披薩
plain,簡樸的;清楚的;平原
planet,行星
plate,鍍;電鍍;盤;碟
platform,月台;平台
playful,愛玩耍的;開玩笑的
pleasant,愉快的;美好的
pleasure,愉快
plus,正的;外加的;有益的;陽性的;正電的;加(上);正號
poem,詩
poet,詩人
poison,放毒;下毒;毒物
policy,政策;策略
polite,有禮貌的
popular,流行的;受歡迎的
population,人口
pork,豬肉
port,港
pose,姿勢;裝腔作勢
positive,正面的;確信的;正面;正數;正片;(電池的)陽極
possibility,可能性
post,郵寄;登入(分類帳等);發表;郵件;柱;樁;崗位;站;交易所
postcard,明信片
pot,罐;鍋;把...放在罐(或鍋)裡;亂射
potato,馬鈴薯
pound,磅;敲打;(心等)劇跳;腳步沈重地走
powerful,強有力的
praise,讚揚;稱讚
pray,禱告
prefer,更喜歡
presence,出席;在場
present,禮物;提出;出席的;當前的;現在式的
president,校長;總統
press,新聞輿論;壓;擠;催逼
pride,自豪;得意;使得意;以...自豪
prince,王子
princess,公主
principal,(中小學)校長;主要的;首要的;資本的;本金的
principle,主義;真諦
printer,印表機;印刷業者
prison,監獄
prisoner,囚犯;俘虜
private,私人的
prize,獎品;重視;珍視;估價
produce,農產品;製造;出產
producer,生產者;製造者製片人
progress,前進;進行;上進;提高;進步
project,計劃;企劃;突出;伸出;投射
promise,承諾;諾言;希望;前途
pronounce,發...音
propose,提議
protect,保護
proud,感光榮的;驕傲的
provide,供應
pudding,布丁
pump,唧筒;打氣機;抽水機;跳動;使用唧筒
pumpkin,南瓜
punish,處罰
punishment,處罰;懲罰
pupil,學生
puppet,木偶;傀儡
puppy,小狗
purse,錢包
puzzle,使迷惑;謎
quality,品質
quantity,量
quarter,15分鐘;把...四等分;供...住宿;;駐紮
quit,放棄;離職
quiz,小考;挖苦;嘲弄;考問
rabbit,兔子
rainy,下雨的;多雨的
range,排列;範圍;等級;多爐爐灶
rapid,迅速的
rare,罕見的
rather,寧可;頗為
reality,現實;真實
realize,認知;實現
recent,最近的
record,錄音;記錄;唱片
rectangle,長方形
refrigerator,電冰箱
refuse,拒絕
regard,事項;問候;把...看作;尊重
region,地區;地帶
regular,通常的;定期的;正規兵;老客戶;長工;普通尺寸
reject,拒絕
relation,關係;關聯
relationship,關係;關聯;人際關係
repeat,重複;重播;複寫;副本;
reply,答覆;回答
reporter,記者
require,需要
requirement,需要;必需品
respect,尊敬
responsible,負責任的
restaurant,餐廳
restroom,廁所
result,發生;產生;結果;導致
review,溫習;回顧;復習
riches,財富;財產;富有;豐饒
roach,蟑螂
rocky,岩石的;多岩石的
role,角色
roll,滾動;(一)捲;捲餅;隆隆聲;名單
royal,皇家的
rude,無禮的
ruler,尺;統治者
runner,賽跑者;逃亡者
rush,催促;急送;急速行動;(交通等的)繁忙;搶購
safety,安全
sailor,水手
salad,沙拉
salty,有鹽分的;鹹味濃的
sample,樣品;取...的樣品;抽樣檢查
sandwich,三明治;將..夾在中間;擠進
satisfy,使滿意
sauce,調味醬;醬汁;給...加調味汁
science,科學
scientist,科學家
scissors,剪刀
score,得分; 二十; 刻痕; 樂譜
screen,屏;銀幕;篩選;放映電影
search,搜查;搜尋;檢查;探索;調查
secret,秘密;神祕的;奧祕的
secretary,秘書
section,節;斷面;把...分成段(或組等);將...切片
select,挑選;精選的;卓越的
selection,選擇;選拔;選集;文選
semester,學期
separate,分隔;單獨的;個別的
serious,嚴肅的;嚴重的;認真的
servant,雇工
settle,安放;安頓;解決(問題等)
settlement,解決;清算;定居
share,分享;股份;市場佔有率;分攤;貢獻
shelf,架子
shell,殼;果殼;貝殼;剝...的殼;砲轟;射擊
shock,使震動;震驚
shocked,震驚的
shoot,幼芽;幼枝;狩獵(隊);注射;射擊;拍攝
shorts,短褲
shower,陣雨;淋浴;傾注;洗淋浴
shrimp,蝦子
sidewalk,路邊行人道
sign,記號;簽字;做信號
silence,寂靜;使沈默;使啞口無言;使安靜
silent,寂靜的
silk,蠶絲;絲;絲織物(品);綢布
similar,相似的
simply,簡單地;簡易地;簡明地;只不過
single,單一的;獨身的;選出;挑出;擊出一壘安打
sink,洗物槽;沉下;陷於
skilled,熟練的;有技能的
skillful,有技術的; 熟練的
skinny,很瘦的
skirt,裙子;繞開;避開
sleepy,想睡的
slender,纖細的
slide,滑梯;土崩;滑壘滑動
slim,減肥;減少;縮減;細長的;微小的
slip,滑跤;滑動;鬆脫
slipper,拖鞋
snack,點心;吃快餐;吃點心
snail,蝸牛
snowy,似雪的;多雪的
soccer,足球
social,社會的;交際的
society,社會
sock,短襪
soldier,軍人
solution,解答;溶劑
solve,解決
somebody,某人;有名氣的人
somewhere,在某處
sort,把...分類;類型;排序
source,源頭
southern,南方的;向南方的
soy,醬油;大豆
soybean,大豆
speaker,演講者;揚聲器
speed,加速;促進;速度
spelling,拼字;拼寫;拼法
spider,蜘蛛
spinach,菠菜
