absolute,絕對的;完全的
telegraph,用電報發送;電匯;電購
tense,使拉緊;使繃緊
terrify,使害怕;使恐怖
tolerate,忍受;寬恕;容許
transfer,轉換;調動
transform,使改變;使轉化
translate,翻譯
triumph,獲得勝利
twinkle,(星等)閃爍;閃耀
upload,[電腦]上載
urge,催促;力勸
violate,違犯;擾亂
volunteer,自願(做)
voyage,航行;旅行
withdraw,提取;撤離
witness,目擊;為...作證
wreck,遇難;受到破壞
wrinkle,起皺紋
counter,反方向地;相反地
elsewhere,在別處;往別處
furthermore,而且;此外;再者
highly,非常;很;高度地
largely,大部分;主要地;大量地
lately,近來;最近;不久前
leisurely,從容不迫地;慢慢地
monthly,每月;每月一次
moreover,並且;加之;此外
mostly,一般地;通常
namely,即;那就是
nowadays,現今;時下
otherwise,除此以外;否則;不然
overnight,一整夜的
roughly,粗糙地;粗暴地;大約
scarcely,幾乎不;幾乎沒有
weekly,每週
yearly,一年一度
amid,(prep.4)在...之間;在...之中
amidst,(prep.6)在...之中;在...中間
concerning,(prep.10)關於
despite,(prep.7)不管;儘管;任憑
including,(prep.9)包括
regarding,(prep.9)關於;就...而論
abdomen,下腹
accent,重音;腔調
acceptance,接受;領受;(票據等的)承兌;認付
access,通道;入口;門路
accomplishment,成就;成績;造詣;實現
accountant,會計師
accuracy,正確(性);準確(性)
acid,(化學)酸
acquaintance,相識的人
acre,英畝
adjective,形容詞
adjustment,調節;調整
admiration,欽佩;羨慕
admission,進入許可;入場費;承認
adverb,副詞
agency,仲介;代理
agent,代理人;代理商
alcohol,酒精;酒
alert,警戒;警報;警戒狀態
allowance,津貼;零用錢
aluminum,鋁
amateur,業餘從事者;外行
amusement,樂趣;消遣
analysis,分析
ancestor,祖宗;祖先
anniversary,周年紀念日
anxiety,焦慮;掛念
apology,道歉
appliance,用具;裝置;設備
applicant,申請人
application,申請
appointment,(尤指正式的)約會;約定
appreciation,欣賞;鑑賞;賞識
approval,批准;認可
arch,拱門;拱形
arms,武器;戰爭;戰鬥;兵役
article,文章;條款
aspect,方面;觀點
aspirin,阿斯匹靈(解熱鎮痛藥)
assembly,集會;集合
assignment,(分派的)任務;工作;(課外)作業
assistance,幫助;協助
associate,夥伴;同事
association,協會;公會;社團
assurance,保證
atmosphere,大氣;氣氛
atom,原子
attachment,連接;安裝;附著;附屬物;附件;扣押;扣押令
attraction,吸引;吸引力
authority,職權;官方
autobiography,自傳
backpack,背包
ballet,芭蕾舞
bankrupt,破產者;赤貧者
bargain,交易;廉價
barrier,障礙物;路障
basin,臉盆;盆地
battery,電池
beak,鳥嘴
beam,橫樑;光束
behavior,行為
biography,傳記
biology,生物學
blade,刀片;葉片;葉片狀物
blend,混合;混雜;交融;混合物
blessing,祈神賜福;祝福
blink,眨眼睛;一瞬間
bloom,開花
blossom,花;開花
blush,臉紅
boast,吹牛;大話
bond,結合力;束縛
bounce,彈;反彈
bra,奶罩
bracelet,手鐲;臂鐲
brassiere,胸罩
breed,品種
bridegroom,新郎
bulletin,公報;公告
cabinet,櫥;櫃;內閣
calculation,計算;估計;推測;盤算
calculator,計算機
calorie,卡路里
campaign,運動;活動
candidate,候選人;候補者
capacity,容量;容積
cape,岬;海角
capitalism,資本主義
capitalist,資本主義者
career,職業;生涯;歷程
cargo,(船、飛機、車輛裝載的)貨物
carrier,運送人;從事運輸業公司;帶菌者
catalog,目錄
catalogue,目錄;大學概況一覽;登記;記載
CD,激光唱片
cease,停息
celebration,慶祝
cement,水泥
chamber,室;房間;議院
championship,冠軍的地位
characteristic,特性;特徵
charity,施捨;善舉
chemistry,化學
chirp,啁啾聲;唧唧聲
chore,家庭雜務
chorus,合唱隊
cigar,雪茄煙
cinema,影院;電影;電影業
circulation,發行量
circumstance,境況;境遇
civilian,平民;百姓
civilization,文明
clash,碰撞聲;鏗鏘聲
classification,分類;分級
cliff,懸崖;峭壁
climax,頂點;最高點
code,法規;代碼;電碼
collapse,倒塌
combination,組合
comedy,喜劇
comic,漫畫
commander,指揮官;司令官
comment,評論
commerce,商業;貿易;交易
communication,交往;通信
community,社區
compact disk,光碟
companion,同伴;伴侶
competition,競爭;角逐
competitor,競爭者;對手
composer,作曲家
composition,寫作;作曲;作品;作文
