acceptable,可以接受的;令人滿意的
click,卡嗒聲
client,顧客;客戶
clinic,診所;門診所
clip,夾;鉗;迴紋針
clue,線索;跡象;提示
cocktail,雞尾酒
coconut,椰子;椰子肉
collar,衣領
collection,收集
college,學院;大學
colony,殖民地
column,(報紙的)欄;段;行
comfort,安逸;舒適
comma,逗號;停頓
command,命令
commercial,商業廣告
committee,委員會
comparison,比較;對照
complaint,抱怨;抗議;怨言
complex,複合物
concern,關懷
concert,音樂會;演奏會
conclusion,結論;推論
condition,情況;條件
cone,圓錐體;圓錐形
connection,連接;聯絡;銜接
consideration,考慮
constant,常數;衡量;不變的事物
continent,大陸;陸地;大洲
contract,和約
couch,長沙發
coward,懦夫;膽怯者
cradle,搖籃
crash,相撞(事故)
crawl,緩慢的行進
creator,創造者;創作者
creature,生物;動物
credit,信用;貸方
crew,全體船員
cricket,蟋蟀
criminal,罪犯
crown,王冠
crutch,丁形柺杖
cupboard,食櫥;碗櫃
current,水流;電流
cycle,週期;循環
dairy,牛奶店;牛奶及乳品業
dam,水壩
darling,心愛的人
dash,急衝;奔跑;破折號
dealer,業者;商人;發牌者
decade,十;十年
deck,艙面;甲板;(紙牌的)一副
deed,契據;證書
definition,定義;釋義
delivery,投遞;傳送
democracy,民主
deposit,存款
description,敘述;形容
designer,設計者;構思者;時裝設計師
detail,細節;詳情
devil,魔鬼;惡魔
dialogue,對話;交談
diet,飲食;特種飲食
dime,一角硬幣
dip,價格的下跌;下跌
dirt,污物;爛泥;灰塵
disappointment,失望;掃興;沮喪
disc,圓盤;盤狀物;磁盤;鐵餅
disco,迪斯科音樂
discotheque,小舞廳;迪斯科舞廳
discount,折扣
discovery,發現
disease,病;疾病
disk,圓盤;(電腦)磁盤
dislike,不喜愛;厭惡
ditch,溝;壕溝
dive,俯衝;急劇下降
dock,碼頭
dodge,躲閃;託詞
dose,(藥物等的)一劑;一服
drain,排水管
drip,滴下;滴水聲
drunk,醉漢;酒鬼;酒宴;鬧飲
due,應得之物;應得權益;應付款;稅金
dump,垃圾場
dust,灰塵;塵土
earnings,收入;工資
echo,回聲;回響
edition,版本
editor,編者;校訂者
elbow,肘部
election,選舉
electricity,電;電流
emergency,緊急情況
emperor,皇帝
employee,受雇者;雇工;雇員
employer,雇主;雇用者
employment,雇用;受雇
engagement,訂婚;諾言;雇用;交戰
engine,引擎
engineer,工程師
entry,進入;入場;入口
envy,妒忌;羨慕
escape,逃跑;逃脫
evil,邪惡;罪惡
excellence,優秀;傑出;卓越
exchange,交換;交流;交易所
exhibition,展覽;展覽會
existence,存在;實在
exit,出口
expectation,期待;預期
expense,費用;支出;消耗
experiment,實驗;試驗
export,出口
expression,表達;表示
extreme,極端;末端
fable,寓言
factor,因素;要素
faint,昏厥
fairy,小妖精;仙女
faith,信念;信任;完全信賴
fake,冒牌貨;仿造品
fanatic,狂熱者;盲信者
fancy,愛好;迷戀;想像;怪念頭
fare,票價;車(船)費
fashion,流行式樣;時尚
fate,命運
faucet,水龍頭
fax,傳真通信
feather,羽毛
feature,特徵;特色
file,檔案;案卷
firework,煙火
fist,拳;掌握;支配
flame,火焰;火舌
flavor,味;味道
flea,跳蚤
flesh,肉;肌肉
float,漂游物;木筏
flock,群;人群;群眾
fold,摺疊
folk,人們
follower,追隨者;信徒
forehead,額;前額
fortune,財產;財富;巨款
fountain,泉水;噴泉;水源
freeze,結冰;凝固;(物價;工資等的)凍結
friendship,友誼
fry,炸薯條
fund,資金;基金
fur,軟毛;毛皮製品
furniture,傢俱
gallon,加侖
gamble,賭博;打賭
gang,一幫;一群;惡少幫
gap,裂口;缺口
garlic,大蒜;蒜頭
gasoline,汽油
gesture,姿勢;表示
glance,一瞥;掃視
glory,光榮;榮譽
glow,灼熱;光輝
gossip,閒話;聊天;流言蜚語
governor,州長
gown,長禮服;晨衣;睡袍
grab,攫取;霸佔
graduate,大學畢業生
grain,穀物;砂粒;粒;細粒
gram,公克
grasp,抓;緊握;抱
grasshopper,蚱蜢
greenhouse,溫室;暖房
grin,露齒的笑
grocery,食品雜貨; 食品雜貨店
guardian,保護者;守護者;管理員
guidance,指導;引導;領導
gum,口香糖
gym,體育館;體育;體操
gymnasium,體育館;健身房
hairdresser,美髮師
hallway,玄關;門廳;走
handful,少數;少量
harbor,港灣;海港
harm,損傷;傷害;危害
harvest,收穫
hatch,艙口
hawk,鷹;隼
hay,乾草
headline,標題
headquarters,總部;總公司;總局
heap,一堆;堆積;堆
heaven,天國;上帝
heel,腳後跟;踵
hell,地獄;冥府
helmet,盔;頭盔;鋼盔;帽盔;安全帽
hike,徒步旅行
hint,暗示
historian,歷史學家
hive,蜂房;蜂巢;熱鬧的場所
hollow,洞;穴;坑
hometown,故鄉;家鄉
honesty,誠實
honor,榮譽;名譽
horn,角;觸角;喇叭
horror,恐怖;震驚;毛骨悚然
housekeeper,女管家
hug,緊抱;擁抱
